,T_ext,Sol_rad,T_Wall_Ins,T_Ins_Ins,T_Ins_Coat,T_int
2018-03-23 20:30:00,11.612434028,0.0,24.253293227999997,18.399778825,11.477668914999999,25.570258427000002
2018-03-23 20:35:00,11.542759602,0.5411094181999999,24.279630476,18.371082211999997,11.435750474999999,25.594936968000003
2018-03-23 20:40:00,11.482247858,0.3329904112,24.253485297,18.312230739,11.395689002000001,25.614518117000003
2018-03-23 20:45:00,11.312100288,0.0,24.258096065,18.295339158,11.37182843,25.617533921000003
2018-03-23 20:50:00,11.254546582,0.0,24.387853456,18.359950994000002,11.419759955,25.566410460999997
2018-03-23 20:55:00,11.268056964,0.0310000002,24.37321093,18.327777765999997,11.373392895,25.527645520999997
2018-03-23 21:00:00,11.231030128,0.0,24.367927914,18.2967417875,11.3434036205,25.522247315999998
2018-03-23 21:05:00,11.15191788,0.0,24.362150755,18.265514279,11.293124746,25.508024854000002
2018-03-23 21:10:00,11.361761032,0.0,24.343470915,18.234597909999998,11.276597115,25.48717763
2018-03-23 21:15:00,11.248523862,0.0,24.358837339,18.219836487000002,11.267888654,25.481030849
2018-03-23 21:20:00,11.207785242,0.0,24.347272626,18.200952899999997,11.234162824999999,25.477674571
2018-03-23 21:25:00,11.298622122000001,0.0,24.31048415,18.153597195,11.188055341999998,25.481520199000002
2018-03-23 21:30:00,11.262911996,0.0,24.266111693,18.104247303,11.140998871,25.491172466
2018-03-23 21:35:00,11.291040348,0.0,24.242890429999996,18.065586743,11.11595847,25.506955887
2018-03-23 21:40:00,11.19509216,0.0,24.254807696999997,18.058613916,11.111562812999999,25.531774876
2018-03-23 21:45:00,11.021038242,0.0,24.245741340000002,18.029560453000002,11.061455181,25.550495513
2018-03-23 21:50:00,11.049060235999999,0.0,24.230711984,18.016109368000002,11.042342189,25.559840828
2018-03-23 21:55:00,10.955062545999999,0.0832476028,24.239506156,18.003000528999998,11.033152930500002,25.566869554500002
2018-03-23 22:00:00,10.979884393999999,0.853723631,24.22408308,17.984249352,11.027745706000001,25.579129078
2018-03-23 22:05:00,11.027604384,0.0,24.219374312,17.976741280000002,11.037604547,25.586519957
2018-03-23 22:10:00,11.039117259,0.0,24.234794229000002,17.975395317,11.045010422999999,25.591358223
2018-03-23 22:15:00,10.848208543999998,0.0,24.236856862000003,17.976444365,11.035775608000002,25.602436705
2018-03-23 22:20:00,10.718199393999999,0.0,24.225033143,17.965978119,11.001180458,25.609007605
2018-03-23 22:25:00,10.998133928,0.0,24.257370128,17.983384733,11.010536687,25.61650811
2018-03-23 22:30:00,11.108983513999998,0.0310000002,24.248938664,17.97950691,11.014372288,25.614193609
2018-03-23 22:35:00,11.090068775999999,1.0621331066,24.231361353,17.959151462999998,10.999819255999999,25.570410965
2018-03-23 22:40:00,11.159988962,1.1872949788,24.244692887,17.963809729,10.964971502000001,25.584702135999997
2018-03-23 22:45:00,11.060561398,0.0,24.215986475999998,17.929969659,10.880187759,25.584560398
2018-03-23 22:50:00,11.088081698,0.0,24.345537786999998,18.024381079,10.918193415000001,25.550960708
2018-03-23 22:55:00,11.3152089,0.0,24.3734886005,18.077182938,10.9733786595,25.4784158895
2018-03-23 23:00:00,12.232342915999999,0.4684856172,24.330453863,18.026639541999998,10.936315244,25.434963771
2018-03-23 23:05:00,12.552637726,0.0,24.247603661,17.940405645,10.840903092,25.471273442
2018-03-23 23:10:00,12.443238804,0.0,24.269178799,17.944254399000002,10.804070175,25.498299703
2018-03-23 23:15:00,12.121621731000001,0.0,24.232700054000002,17.91545523,10.769846637,25.534305614
2018-03-23 23:20:00,10.032539422400001,0.0,24.333886434999997,17.958565285,10.510834995,25.506112382
2018-03-23 23:25:00,8.4644098214,0.0,24.357588883,17.952884064,9.7539207465,25.438777229
2018-03-23 23:30:00,8.582581701399999,0.0,24.278885101,17.887073028,9.3815758525,25.423856800000003
2018-03-23 23:35:00,8.5569117718,2.197761418,24.300181035,17.860793170999997,9.1523650071,25.439031618
2018-03-23 23:40:00,8.756533096,4.395522836,24.269441797,17.771979994,8.9593384565,25.447856326999997
2018-03-23 23:45:00,9.1325595518,0.0,24.269752336000003,17.715430329,8.882636202899999,25.453640246999996
2018-03-23 23:50:00,9.3379670836,0.0,24.262208514,17.647944567,8.7984406491,25.460211965
2018-03-23 23:55:00,9.4127652634,0.0,24.2776608525,17.60595309,8.763676091299999,25.465821909000002
2018-03-24 00:00:00,9.486431860600002,0.0,24.279579003000002,17.563294862,8.7482552077,25.472479356
2018-03-24 00:05:00,9.4491753458,0.24974280840000002,24.259566386,17.51637649,8.777902942899999,25.474819265999997
2018-03-24 00:10:00,9.1235853526,0.0,24.263409728,17.457365096,8.8221737276,25.479263623999998
2018-03-24 00:15:00,8.916854642,0.0,24.242920724999998,17.404543318,8.815007129200001,25.485030732000002
2018-03-24 00:20:00,9.0209487704,0.0,24.278419528,17.385555961,8.767846301199999,25.497383272999997
2018-03-24 00:25:00,9.1162356934,0.0,24.248009173,17.337636887000002,8.7016117088,25.498517951
2018-03-24 00:30:00,9.0976778086,0.0,24.223849801,17.30203805,8.6806540483,25.498676492
2018-03-24 00:35:00,9.163917748200001,0.0,24.235391437,17.283249618,8.6896750909,25.503199206
2018-03-24 00:40:00,9.236052151200001,0.0,24.23529458,17.273387315,8.681761361,25.506744048
2018-03-24 00:45:00,9.2580284252,0.0,24.236495619,17.24644061,8.6423854423,25.512873471000002
2018-03-24 00:50:00,9.2686665496,0.0,24.239331274,17.23432145,8.628952514000002,25.511140028
2018-03-24 00:55:00,9.2241705589,0.0,24.2379484585,17.222217171,8.6123268158,25.5076187895
2018-03-24 01:00:00,9.1962801618,0.4684856172,24.244163436,17.206438826000003,8.5784033262,25.516024921000003
2018-03-24 01:05:00,9.0138399718,0.0,24.243286073,17.204647971,8.578016536300002,25.518199395
2018-03-24 01:10:00,7.8338587998,0.31232374479999997,24.182945793000002,17.159965423,8.3471015548,25.523714434
2018-03-24 01:15:00,7.8104521582,0.15616187239999998,24.200105442,17.151728372999997,8.0078153911,25.525100875
2018-03-24 01:20:00,7.9822070036,0.24974280840000002,24.204118029999997,17.142868994,7.851776340899999,25.523682630000003
2018-03-24 01:25:00,8.126434209200001,0.0,24.17763457,17.092550874,7.7344489374,25.526787046000003
2018-03-24 01:30:00,7.9901977635999994,0.0,24.190689624999997,17.075909216,7.5833639465,25.522092164999997
2018-03-24 01:35:00,7.8109524962,0.0,24.226814258,17.061795058999998,7.4304595786,25.528866793
2018-03-24 01:40:00,7.8030873652,0.0,24.217714243,17.020822846,7.319767671099999,25.5342393835
2018-03-24 01:45:00,7.816289869799999,0.0,24.182307571,16.957879489,7.238544234299999,25.530741536
2018-03-24 01:50:00,7.9045012856,0.0,24.165389163999997,16.88857017,7.173436947899999,25.531978935
2018-03-24 01:55:00,7.8911136782,0.0,24.137469707999998,16.850735474000004,7.1985420037,25.528536693
2018-03-24 02:00:00,7.806786224,0.0,24.181798417000003,16.840146411,7.293038461,25.536068067000002
2018-03-24 02:05:00,7.8364184052,0.0,24.157554628,16.786955782,7.2698410308,25.534255862000002
2018-03-24 02:10:00,7.816227329599999,0.3019904114,24.156271373,16.749603679,7.199465608,25.534019229000002
2018-03-24 02:15:00,7.8882061202000004,1.2079616456,24.154726893,16.728739613000002,7.1709648444,25.536350963
2018-03-24 02:20:00,7.856535605,0.3019904114,24.187739326,16.738662395,7.210844924800001,25.534901055
2018-03-24 02:25:00,7.8070670062000005,0.0,24.176295719,16.717859957,7.1588384645,25.539351858499998
2018-03-24 02:30:00,7.9544102118,0.0,24.164961312,16.682024136000003,7.056363235899999,25.541612932
2018-03-24 02:35:00,7.956699250200001,0.0,24.147358542,16.642978334,6.947144388100001,25.548514322000003
2018-03-24 02:40:00,7.7757956076,0.4684856172,24.144346278,16.60996215,6.832596689899999,25.548341397
2018-03-24 02:45:00,7.842570787200001,0.0,24.146023133,16.592523694,6.757069878100001,25.543709585
2018-03-24 02:50:00,7.8239255336,0.0,24.155068061,16.588579369999998,6.7484225454499995,25.541243729499996
2018-03-24 02:55:00,7.7517077924,0.0103333334,24.138466692999998,16.549758445000002,6.7658726427,25.546608255000002
2018-03-24 03:00:00,7.812812172799999,0.051666667,24.145799196,16.524010323,6.8306591777,25.544291559999998
2018-03-24 03:05:00,7.7231356338,0.0051666667,24.13540925,16.503648317,6.892063976,25.543897989999998
2018-03-24 03:10:00,7.753776827600001,1.6247805956,24.130634889,16.491451135,6.9492095659,25.546647909999997
2018-03-24 03:15:00,8.102051030199998,2.2810090212,24.124769602,16.477031519,7.024257384499999,25.548877072
2018-03-24 03:20:00,8.2371675168,2.9372374468,24.150106919000002,16.487310499,7.1069496244999995,25.550720722
2018-03-24 03:25:00,8.1341644672,0.0,24.130229354,16.472803955,7.1024165624,25.548892554
2018-03-24 03:30:00,8.114462830799999,0.0,24.115807557,16.454419905,7.1000958365999995,25.548089022
2018-03-24 03:35:00,8.075352451,0.0,24.144992584,16.480660204000003,7.126335769900001,25.559527641000003
2018-03-24 03:40:00,8.0366604044,0.0,24.091715969,16.448706705,7.117094551299999,25.561165781
2018-03-24 03:45:00,8.029696956,0.0,24.108596622999997,16.448269779,7.1561373618,25.557716069999998
2018-03-24 03:50:00,8.6502776932,0.0,24.125779274000003,16.455677659,7.2216745088000005,25.5597486065
2018-03-24 03:55:00,8.8998754264,0.0206666668,24.140133439000003,16.44964143,7.2083374435000005,25.556030207
2018-03-24 04:00:00,9.0418988442,0.0103333334,24.147292610999997,16.468890869,7.1404372563,25.554989603
2018-03-24 04:05:00,9.0681372534,0.0,24.120930576,16.452672952,7.0565924018,25.557400394
2018-03-24 04:10:00,9.1780821026,1.8225662692999998,24.095085377,16.443936727,7.0757905439,25.564491402999998
