,Index (GIE-CPT-ELE-CVC-TDA2.4-GIENAH)
2022-07-22 20:00:00+00:00,1758254.1404364766
2022-07-22 20:30:00+00:00,1255732.9023134848
2022-07-22 21:00:00+00:00,4.9525207461236584e-06
2022-07-22 21:30:00+00:00,8.196400491507735e-06
2022-07-22 22:00:00+00:00,-1.1904675847826859e-05
2022-07-22 22:30:00+00:00,-1.7427918716118888e-05
2022-07-22 23:00:00+00:00,1.5092582109716389e-05
2022-07-22 23:30:00+00:00,-8.01232666708529e-06
2022-07-23 00:00:00+00:00,-1.8260637513146953e-05
2022-07-23 00:30:00+00:00,1292995.772235658
2022-07-23 01:00:00+00:00,2048435.7636425423
2022-07-23 01:30:00+00:00,49078.0614222964
2022-07-23 02:00:00+00:00,-6.677217781543732e-06
2022-07-23 02:30:00+00:00,0.0
2022-07-23 03:00:00+00:00,7.758178304703461e-06
2022-07-23 03:30:00+00:00,4.577596733967463e-06
2022-07-23 04:00:00+00:00,1.570999629118226e-05
2022-07-23 04:30:00+00:00,1.0231626530488332e-05
2022-07-23 05:00:00+00:00,771989.3994596914
2022-07-23 05:30:00+00:00,2051076.3666069368
2022-07-23 06:00:00+00:00,418057.93758627906
2022-07-23 06:30:00+00:00,5.383145995438098e-06
2022-07-23 07:00:00+00:00,-1.4793027765475786e-05
2022-07-23 07:30:00+00:00,-1.5519289570486443e-05
2022-07-23 08:00:00+00:00,9.909850705151606e-06
2022-07-23 08:30:00+00:00,7.001857075727346e-06
2022-07-23 09:00:00+00:00,2.2705122828483585e-06
2022-07-23 09:30:00+00:00,1430379.0597951186
2022-07-23 10:00:00+00:00,1794560.6768962732
2022-07-23 10:30:00+00:00,31124.887332009344
2022-07-23 11:00:00+00:00,1.6214928279320397e-06
2022-07-23 11:30:00+00:00,1.5715823819239932e-05
2022-07-23 12:00:00+00:00,0.0
2022-07-23 12:30:00+00:00,0.0
2022-07-23 13:00:00+00:00,50205.63112282736
2022-07-23 13:30:00+00:00,1277461.3474577826
2022-07-23 14:00:00+00:00,1572119.0859465168
2022-07-23 14:30:00+00:00,14.246331206083298
2022-07-23 15:00:00+00:00,0.0
2022-07-23 15:30:00+00:00,0.0
2022-07-23 16:00:00+00:00,0.0
2022-07-23 16:30:00+00:00,0.0
2022-07-23 17:00:00+00:00,1157646.654247004
2022-07-23 17:30:00+00:00,1607249.5596593372
2022-07-23 18:00:00+00:00,180270.41969269968
2022-07-23 18:30:00+00:00,1.2781098073759634e-05
2022-07-23 19:00:00+00:00,1.7180935080562323e-06
2022-07-23 19:30:00+00:00,3.760669912610734e-07
2022-07-23 20:00:00+00:00,1.847842016390392e-05
